brand,mileage_band,age_band,mean,median,count,lower_estimate,upper_estimate
suzuki,20k-50k,4-7 years,11949.07142857143,10940.0,14,9299.0,12580.999999999998
suzuki,20k-50k,8-12 years,6481.0,6695.0,10,5690.75,7699.249999999999
suzuki,50k-100k,13-20 years,3184.2758620689656,2900.0,29,2465.0,3334.9999999999995
suzuki,50k-100k,8-12 years,6428.518518518518,5500.0,27,4675.0,6324.999999999999
toyota,0-20k,4-7 years,14278.0,15845.0,10,13468.25,18221.75
toyota,100k+,13-20 years,3033.8896551724138,2500.0,145,2125.0,2875.0
toyota,100k+,20+ years,1915.3260869565217,1420.0,46,1207.0,1632.9999999999998
toyota,100k+,8-12 years,5604.726415094339,4970.0,106,4224.5,5715.5
toyota,20k-50k,4-7 years,15027.227272727272,14260.5,22,12121.425,16399.574999999997
toyota,20k-50k,8-12 years,7684.181818181818,6200.0,11,5270.0,7129.999999999999
toyota,50k-100k,13-20 years,3988.074074074074,3000.0,27,2550.0,3449.9999999999995
toyota,50k-100k,4-7 years,10279.142857142857,9744.5,14,8282.824999999999,11206.175
toyota,50k-100k,8-12 years,6589.2531645569625,5990.0,79,5091.5,6888.499999999999
volkswagen,0-20k,0-3 years,23366.55294117647,22800.0,85,19380.0,26219.999999999996
volkswagen,0-20k,13-20 years,2388.0689655172414,1450.0,29,1232.5,1667.4999999999998
volkswagen,0-20k,20+ years,3407.1428571428573,1350.0,14,1147.5,1552.4999999999998
volkswagen,0-20k,4-7 years,18212.333333333332,17494.5,66,14870.324999999999,20118.675
volkswagen,0-20k,8-12 years,7819.8,6750.0,10,5737.5,7762.499999999999
volkswagen,100k+,13-20 years,3074.0574162679427,2399.0,2717,2039.1499999999999,2758.85
volkswagen,100k+,20+ years,1542.6663770634232,900.0,1151,765.0,1035.0
volkswagen,100k+,4-7 years,12829.90909090909,11980.0,187,10183.0,13776.999999999998
volkswagen,100k+,8-12 years,8189.154530744337,7399.5,1236,6289.575,8509.425
volkswagen,20k-50k,13-20 years,4595.444444444444,3850.0,27,3272.5,4427.5
volkswagen,20k-50k,20+ years,4571.444444444444,2500.0,18,2125.0,2875.0
volkswagen,20k-50k,4-7 years,17688.330158730158,16150.0,315,13727.5,18572.5
volkswagen,20k-50k,8-12 years,9651.951612903225,9050.0,62,7692.5,10407.5
volkswagen,50k-100k,13-20 years,4097.308988764045,3490.0,178,2966.5,4013.4999999999995
volkswagen,50k-100k,20+ years,2452.3387096774195,1300.0,62,1105.0,1494.9999999999998
volkswagen,50k-100k,4-7 years,16302.730113636364,14990.0,352,12741.5,17238.5
volkswagen,50k-100k,8-12 years,9963.735655737704,9000.0,488,7650.0,10350.0
volvo,100k+,13-20 years,3044.3105590062114,2250.0,161,1912.5,2587.5
volvo,100k+,20+ years,1882.1714285714286,1130.5,70,960.925,1300.0749999999998
volvo,100k+,8-12 years,9879.689655172413,8925.0,58,7586.25,10263.75
volvo,50k-100k,4-7 years,17641.285714285714,16220.0,14,13787.0,18653.0
volvo,50k-100k,8-12 years,12489.875,10000.0,16,8500.0,11500.0
